Sr#,Project_Title,Approval_Status,Approved_Date,Total_Cost,Foreign Loan,Expenditure_2024,Throwforward_2025,Rupee_Funding,Allocation_2024_25,Type,Ministry,Utilization%,Approval_Year,Approval_Month
233,Rehabilitation of Old Town Gwadar (Provision of Missing Facilities) (SB),CDWP,2021-01-06,1652.5,0.0,660.0,992.5,230.0,230.0,On-going,FINANCE DIVISION,39.93948563,2021.0,1.0
234,Widening/Improvement and Reconstruction of 124Km long Road from Khani Cross to Ziarat (70km) and Ziarat to Sinjavi (64km),CDWP,2020-09-06,9752.38,0.0,1749.7,8002.68,1000.0,1000.0,On-going,FINANCE DIVISION,17.94126152,2020.0,9.0
235,Feasibility Study for Metro Bus Route in Quetta,CDWP,2022-06-29,100.0,0.0,50.0,50.0,50.0,50.0,On-going,FINANCE DIVISION,50.0,2022.0,6.0
236,Construction of Road from Main Duk Road to Kharshang via Baghaw and Shinlaiz Sinjawi District Ziarat,CDWP,2023-06-24,1501.57,0.0,50.0,1451.57,500.0,500.0,On-going,FINANCE DIVISION,3.329848092,2023.0,6.0
237,Construction of Black Top Road from Sui to Kashmor 53 km,CDWP,2024-07-06,9351.46,0.0,0.0,9351.46,1200.0,1200.0,New,FINANCE DIVISION,0.0,2024.0,7.0
238,"Feasibility Study for Construction of Border Terminal at Pak- Afghanistan Border Badini with B/T Road from Obashtai to Khan Dagar main Badini Road (Length 40 KM), District Qilla Saifullah, Balochistan",CDWP,2024-06-26,24.944,0.0,0.0,24.944,50.0,50.0,New,FINANCE DIVISION,0.0,2024.0,6.0
239,"Establishment of Danish School Jia Khan, Sohbatpur (80/20)",CDWP,2023-05-05,1610.3,0.0,0.0,1610.3,800.0,800.0,New,FINANCE DIVISION,0.0,2023.0,5.0
240,GB Block Allocation,CDWP,,0.0,0.0,0.0,0.0,20000.0,21000.0,On-going,FINANCE DIVISION,0.0,,
241,PM's Special Package for Gilgit- Baltistan,CDWP,,0.0,0.0,0.0,0.0,4000.0,4000.0,On-going,FINANCE DIVISION,0.0,,
242,"26MW Shagarthang Hydropower Project,Skardu.",ECNEC,2023-05-21,18374.44,0.0,222.814,18151.63,1200.0,1200.0,On-going,FINANCE DIVISION,1.212630154,2023.0,5.0
243,"Construction of 30 MW Hydro Power Project Ghowari, Ghanche",ECNEC,2021-05-26,16399.76,0.0,278.304,16121.46,20.0,20.0,On-going,FINANCE DIVISION,1.697000444,2021.0,5.0
244,Construction of 16 MW Hydro Power Project Naltar-III,CDWP,2021-08-02,6199.49,0.0,3012.44,3187.05,1818.17,1818.17,On-going,FINANCE DIVISION,48.591739,2021.0,8.0
245,20 MW HPP Hanzel Gilgit,ECNEC,,12921.66,0.0,2057.13,10864.53,20.0,20.0,On-going,FINANCE DIVISION,15.92001337,,
246,Construction of 04 MW Hydropower Project Thack Chilas (Revised),CDWP,2021-08-11,2026.79,0.0,322.195,1704.6,20.0,20.0,On-going,FINANCE DIVISION,15.8968122,2021.0,8.0
247,Construction of Darel and Tangir Expressway along with roads in Khanbury and Buner,CDWP,2021-05-24,6030.73,0.0,350.0,5680.73,500.0,500.0,On-going,FINANCE DIVISION,5.803609182,2021.0,5.0
248,Construction of Road from Pissan to Hoper Nagar (Shahra-e-Nagar) 40 KM,CDWP,2021-05-24,4500.0,0.0,1014.0,3486.0,700.0,700.0,On-going,FINANCE DIVISION,22.53333333,2021.0,5.0
249,Establishment of 250 Beded Hospital at Skardu,CDWP,2019-02-10,2999.5,0.0,1677.62,1321.88,600.0,600.0,On-going,FINANCE DIVISION,55.92998833,2019.0,2.0
250,Establishment of 50 Bedded Cardiac Hospital Phase-I at Gilgit (Revised),CDWP,2022-10-01,4674.77,0.0,1578.71,3096.06,1000.0,1000.0,On-going,FINANCE DIVISION,33.77085932,2022.0,10.0
251,Establishment of Medical and Nursing College at Gilgit,CDWP,2021-08-31,4923.75,0.0,8.05,4915.7,50.0,50.0,On-going,FINANCE DIVISION,0.163493272,2021.0,8.0
252,Establishment of Regional Grid GilgitBaltistan Phase-I,ECNEC,2023-09-08,9148.51,0.0,85.771,9062.74,800.0,800.0,On-going,FINANCE DIVISION,0.937540649,2023.0,9.0
253,Inter-Provincial Connectivity Economic Corridor Through GB and AJ&K (Thalichi GB-Shounter AJ&K),ECNEC,2021-04-06,19195.5,0.0,1574.8,17620.7,500.0,500.0,On-going,FINANCE DIVISION,8.204006147,2021.0,4.0
254,Inter-Regional Connectivity Between Baltistan Division and Diamer-Astore Division (Construction / Metalling of Road from Gorikote Astore to Shagharthang Skardu),CDWP,2021-05-24,5274.0,0.0,348.879,4925.12,100.0,100.0,On-going,FINANCE DIVISION,6.615073948,2021.0,5.0
255,Sewerage and Sanitary System for Gilgit City (Phase-II),CDWP,2023-01-27,4864.67,0.0,606.405,4258.27,871.827,871.827,On-going,Diamer-Astore Division,12.46549098,2023.0,1.0
256,Up-gradation of Provincial HQ Hospital Gilgit based on Master Plan,CDWP,2021-01-06,2962.73,0.0,199.4,2763.33,500.0,500.0,On-going,Diamer-Astore Division,6.730279168,2021.0,1.0
257,Greater Water Supply Hunza,CDWP,2021-01-06,1219.0,0.0,50.0,1169.0,500.0,500.0,On-going,Diamer-Astore Division,4.101722724,2021.0,1.0
258,Academic and Research Linkages with different countries/ agencies under Bilateral Agreement - HEC (Revised),CDWP,2021-05-24,405.72,0.0,251.976,153.744,34.314,34.314,New,INFORMATION & BROADCASTING DIVISION,62.10588583,2021.0,5.0
259,Academic Collaboration under CPEC Consortium of Universities,DDWP,2020-03-20,1343.6,0.0,566.0,777.599,300.0,300.0,On-going,Diamer-Astore Division,42.12563263,2020.0,3.0
260,Award of Allama Muhammad Iqbal 3000 scholarships to Afghan students (Prime Minister’s Directive),ECNEC,2017-11-24,7352.54,0.0,5351.27,2001.27,900.0,900.0,On-going,Diamer-Astore Division,72.78124294,2017.0,11.0
261,Award of scholarship to students from Gwadar -HEC,CDWP,2017-06-07,165.113,0.0,139.269,25.844,12.0,12.0,On-going,Diamer-Astore Division,84.34768916,2017.0,6.0
262,Centre for Mathematical Sciences (CMS) at PIEAS - Islamabad,CDWP,2017-07-02,1049.17,0.0,715.984,333.183,333.183,333.183,On-going,Diamer-Astore Division,68.24289677,2017.0,7.0
263,"Construction of Academic Block, Shaheed Zulfiqar Ali Bhutto Medical University (SZABMU), Islamabad (Revised)",CDWP,2023-05-23,2880.75,0.0,477.655,2403.09,450.0,450.0,On-going,Diamer-Astore Division,16.58092511,2023.0,5.0
264,"Construction of hostel and Academic Infrastructure at Shaheed Zulfiqar Ali Bhutto University of Law, Karachi (Revised)",DDWP,2023-04-13,995.96,0.0,570.0,425.96,150.0,150.0,On-going,Diamer-Astore Division,57.2312141,2023.0,4.0
265,"Construction of Main Campus of Khushal Khan Khattak University, Karak",DDWP,2021-01-15,1721.77,0.0,390.0,1331.77,200.0,200.0,On-going,Diamer-Astore Division,22.65110903,2021.0,1.0
266,"Construction of two (02) new departments (Software Engineering and Environmental Engineering) and essential facilities at QUEST, Nawabshah",DDWP,2021-03-31,792.874,0.0,157.317,635.557,250.0,250.0,On-going,Diamer-Astore Division,19.84136193,2021.0,3.0
267,"Development & Improvement of Academic Facilities at Ghazi University, Dera Ghazi Khan",CDWP,2017-08-21,1570.33,0.0,956.0,614.33,200.0,200.0,On-going,Diamer-Astore Division,60.87892354,2017.0,8.0
268,"Development and Extension of Bolan University of Health Sciences, Quetta",DDWP,2019-11-28,1599.68,0.0,125.0,1474.68,250.0,250.0,On-going,Diamer-Astore Division,7.814062813,2019.0,11.0
269,"Development of Academic and Research Facilities at University of Kotli, AJK",CDWP,2018-01-15,1385.08,0.0,1245.0,140.075,140.075,140.075,On-going,Diamer-Astore Division,89.88650475,2018.0,1.0
270,"Development of essential needs for establishment of Government College University, Hyderabad, Sindh",DDWP,2021-01-15,1020.72,0.0,573.0,447.722,200.0,200.0,On-going,Diamer-Astore Division,56.13684458,2021.0,1.0
271,"Development of Government College University, Lahore Campus at Kala Shah Kaku (Phase-II)",DDWP,2020-11-03,1157.75,0.0,677.0,480.753,300.0,300.0,On-going,Diamer-Astore Division,58.47549125,2020.0,11.0
272,"Development of Infrastructure at Lasbela University of Agriculture, Water and Marine Sciences, Lasbela, Uthal – Balochistan (Phase-II)",DDWP,2020-11-03,1250.0,0.0,1150.0,100.0,100.0,100.0,On-going,Diamer-Astore Division,92.0,2020.0,11.0
273,"Development of Main Campus, Bacha Khan University, Charsadda",DDWP,2020-11-03,1843.06,0.0,1155.0,688.061,250.0,250.0,On-going,Diamer-Astore Division,62.66752032,2020.0,11.0
274,"Development of National University of Medical Sciences (NUMS), Rawalpindi (Revised)",CDWP,2021-11-29,3379.54,0.0,1420.0,1959.54,500.0,500.0,On-going,Diamer-Astore Division,42.01755268,2021.0,11.0
275,"Development of Sindh Madrasatul Islam (SMIU) Campus at Education city, Malir, Karachi",CDWP,2017-10-19,2852.5,0.0,1105.0,1747.5,400.0,400.0,On-going,Diamer-Astore Division,38.73794917,2017.0,10.0
276,Development of University of Buner at Swari (Phase-I),DDWP,2020-03-20,1861.92,0.0,1417.1,444.819,200.0,200.0,On-going,Diamer-Astore Division,76.10960729,2020.0,3.0
277,"Development of University of Dir, Sheringal",CDWP,2016-01-14,1945.12,0.0,1690.0,255.118,255.118,255.118,On-going,Diamer-Astore Division,86.8840997,2016.0,1.0
278,Development of University of Sahiwal,DDWP,2020-02-18,1366.94,0.0,700.0,666.937,250.0,250.0,On-going,Diamer-Astore Division,51.20927034,2020.0,2.0
279,"Establishment of  AJK Women University, Bagh, AJ&K",CDWP,2016-04-08,1795.27,0.0,625.0,1170.27,500.0,500.0,On-going,Diamer-Astore Division,34.8137049,2016.0,4.0
280,"Establishment of BUITEMS sub campus at Qilla Saifullah, Muslim Bagh (Revised)",CDWP,2023-07-26,2327.11,0.0,501.8,1825.31,400.0,400.0,On-going,Diamer-Astore Division,21.56322649,2023.0,7.0
281,"Establishment of Campus of Government College University, Faisalabad at District Chiniot (to be revised)",CDWP,2018-03-29,2016.0,0.0,1475.0,541.0,300.0,300.0,On-going,Diamer-Astore Division,73.16468254,2018.0,3.0
282,"Establishment of Centre for Advanced Research in Molecular, Genetic and Allied Facilities, at Shaheed Mohtarma  Benazir Bhutto Medical University Larkana",DDWP,2021-03-31,1820.19,0.0,250.0,1570.19,250.0,250.0,On-going,Diamer-Astore Division,13.73482988,2021.0,3.0
283,Establishment of COMSATS Institute of Information Technology Campus at Abbottabad (to be revised),CDWP,2014-01-16,861.269,0.0,736.269,125.0,125.0,125.0,On-going,Diamer-Astore Division,85.48653208,2014.0,1.0
284,"Establishment of Engineering Faculty at Gilgit and Skardu Campus of Karakorum International University, Gilgit (Revised)",CDWP,2023-03-08,1351.27,0.0,1075.0,276.268,276.268,276.268,On-going,Diamer-Astore Division,79.5547892,2023.0,3.0
285,Establishment of FATA University (to be revised),CDWP,2015-12-21,1692.73,0.0,1592.73,100.0,100.0,100.0,On-going,Diamer-Astore Division,94.09238331,2015.0,12.0
286,Establishment of Federal Institute at Hyderabad - Sindh,CDWP,2017-04-12,1855.72,0.0,167.33,1688.39,250.0,250.0,"Ministry of Railways, Islamabad",Section (Karachi Division),9.016985321,2017.0,4.0
287,"Establishment of Four New Departments at Balochistan University of Engineering & Technology (BUET), Khuzdar",DDWP,2020-11-03,1695.99,0.0,491.695,1204.3,200.0,200.0,On-going,Diamer-Astore Division,28.99162141,2020.0,11.0
288,"Establishment of Institute of Sufism and Mysticism at Bahauddin Zakariya University, Multan",DDWP,2021-04-15,207.665,0.0,145.445,62.22,62.22,62.22,On-going,Diamer-Astore Division,70.03828281,2021.0,4.0
289,Establishment of Kamyab Jawan Sports Academies (High Performance & Resource Centers) and Youth Olympics – HEC,DDWP,2021-04-15,1937.43,0.0,1158.45,778.976,200.0,200.0,On-going,Diamer-Astore Division,59.79312801,2021.0,4.0
290,Establishment of National Center for GIS and Space Application,DDWP,2019-12-31,965.121,0.0,765.121,200.0,200.0,200.0,On-going,Diamer-Astore Division,79.2772098,2019.0,12.0
291,Establishment of National Center of Excellence in Big Data and Cloud Computing (Revised),CDWP,2023-09-08,2382.19,0.0,1534.08,848.107,348.107,348.107,On-going,Diamer-Astore Division,64.39788598,2023.0,9.0
292,"Establishment of National Center of Industrial Biotechnology for Pilot Manufacturing of Bio-products using synthetic Biology and Metabolic Engineering Technologies at PMAS-Arid Agriculture University, Rawalpindi",CDWP,2020-03-03,1439.78,0.0,1088.46,351.312,351.312,351.312,On-going,Diamer-Astore Division,75.59904985,2020.0,3.0
293,Establishment of New Campus for Govt. College Women University Faisalabad,DDWP,2020-04-16,1260.0,0.0,510.0,750.0,300.0,300.0,On-going,Diamer-Astore Division,40.47619048,2020.0,4.0
294,Establishment of New Campus of National University of Technology (NUTECH),CDWP,2019-10-17,2851.23,0.0,1855.0,996.231,300.0,300.0,On-going,Diamer-Astore Division,65.05964093,2019.0,10.0
295,Establishment of NISAR AHMED SIDDIQUI Technology (NASTech) Park at Sukkur IBA University,DDWP,2021-01-15,960.0,0.0,104.681,855.319,200.0,200.0,On-going,Diamer-Astore Division,10.90427083,2021.0,1.0
296,"Establishment of Permanent Campus of Sindh Agriculture University, Tandojam at Umerkot, Sindh & Additional Infrastructure at Sindh Agriculture University, Tandojam",DDWP,2021-04-28,1796.09,0.0,425.0,1371.09,200.0,200.0,On-going,Diamer-Astore Division,23.66251134,2021.0,4.0
297,Establishment of Post Graduate Education and Research Center at Pir Abdul Qadir Shah Jeelani Institute of Medical Sciences (PAQSJIMS) Gambat,DDWP,2021-03-31,1278.6,0.0,575.0,703.6,250.0,250.0,On-going,Diamer-Astore Division,44.9710621,2021.0,3.0
298,"Establishment of Post-graduate Research Laboratories and Allied Facilities at Rawalpindi Medical University, Rawalpindi",DDWP,2021-12-02,1695.28,0.0,604.0,1091.28,400.0,400.0,On-going,Diamer-Astore Division,35.62833278,2021.0,12.0
299,Establishment of Seerat Chairs in Public Sector Universities HEC (Revised),CDWP,2022-07-27,1387.65,0.0,1179.58,208.066,208.066,208.066,On-going,Diamer-Astore Division,85.00558498,2022.0,7.0
300,Establishment of Sukkar IBA University Campus at Mirpur Khas,DDWP,2020-04-16,1399.67,0.0,231.61,1168.06,200.0,200.0,On-going,Diamer-Astore Division,16.5474719,2020.0,4.0
301,Establishment of Technology Development Center (TDC) at the University of Agriculture Peshawar,CDWP,2018-03-29,1676.91,0.0,841.986,834.925,250.0,250.0,On-going,Diamer-Astore Division,50.21056586,2018.0,3.0
302,Establishment of Technology Development Fund for HEC scholars returning after completion of PhD to introduce new technologies application in Pakistan (HEC),CDWP,2015-10-29,2905.0,0.0,1992.96,912.04,210.0,210.0,On-going,Diamer-Astore Division,68.60447504,2015.0,10.0
303,Establishment of the University of Chitral (Phase-I),DDWP,2020-11-03,1724.46,0.0,215.0,1509.46,200.0,200.0,On-going,Diamer-Astore Division,12.46767104,2020.0,11.0
304,Establishment of University Campus for Women at Bannu (Revised),CDWP,2023-03-08,2500.84,0.0,455.0,2045.84,150.0,150.0,On-going,Diamer-Astore Division,18.19388685,2023.0,3.0
305,Establishment of University College at Dera Murad Jamali (LUAWMS) (Revised),CDWP,2022-04-06,2733.07,0.0,2103.61,629.467,300.0,300.0,On-going,Diamer-Astore Division,76.96875675,2022.0,4.0
306,Establishment of University College at Zhob (BUITEMS)- (Revised),CDWP,2023-07-26,2472.62,0.0,747.254,1725.36,300.0,300.0,On-going,Diamer-Astore Division,30.22114195,2023.0,7.0
307,Establishment of University of Baltistan at Skardu - (Revised),CDWP,2023-01-06,3608.5,0.0,2450.02,1158.49,500.0,500.0,On-going,Diamer-Astore Division,67.89580158,2023.0,1.0
308,Establishment of University of Turbat (Phase-II),CDWP,2020-09-06,1456.14,0.0,695.0,761.14,300.0,300.0,On-going,Diamer-Astore Division,47.72892716,2020.0,9.0
309,Establishment of Women  sub campus of Swat University in Mingora (Revised),CDWP,2023-07-18,1360.27,0.0,800.0,560.266,250.0,250.0,On-going,Diamer-Astore Division,58.81185353,2023.0,7.0
310,"Establishment of Women Sub- Campus at Batkhela, University of Malakand",DDWP,2021-01-15,1341.87,0.0,137.511,1204.36,100.0,100.0,On-going,Diamer-Astore Division,10.24771401,2021.0,1.0
311,"Expansion and Improvement of University of Science and Technology, Bannu",DDWP,2020-04-16,964.821,0.0,299.945,664.876,250.0,250.0,On-going,Diamer-Astore Division,31.08815003,2020.0,4.0
312,"Expansion of academic facilities at Main Campus, University of Balochistan, Quetta",DDWP,2021-12-02,1593.63,0.0,1080.0,513.632,313.632,313.632,On-going,Diamer-Astore Division,67.76980855,2021.0,12.0
313,"Extension of Facilities at Shaheed Benazir Bhutto University, Shaheed Benazirabad",DDWP,2021-01-15,1424.84,0.0,597.5,827.34,250.0,250.0,On-going,Diamer-Astore Division,41.934533,2021.0,1.0
314,Faculty Development Programme for Pakistani Universities (Revised),ECNEC,2016-12-20,7142.0,0.0,610.174,6531.83,300.0,300.0,On-going,Diamer-Astore Division,8.543461215,2016.0,12.0
315,Fulbright Scholarship Support Program HEC-USAID (Phase-III),CDWP,2021-05-17,4059.2,0.0,3300.0,759.195,559.195,559.195,On-going,Diamer-Astore Division,81.29680725,2021.0,5.0
316,"Green Youth Movement, Prime Minister’s Youth Program",DDWP,2021-04-15,238.185,0.0,94.5,143.685,143.685,143.685,On-going,Diamer-Astore Division,39.67504251,2021.0,4.0
317,Improvement of academic facilities at University of Karachi,CDWP,2018-03-29,1727.66,0.0,860.0,867.66,300.0,300.0,On-going,Diamer-Astore Division,49.77831286,2018.0,3.0
318,"Indigenous PhD fellowship for 5000 Scholars, HEC  (Phase-II)",ECNEC,2011-11-11,9972.59,0.0,5497.89,4474.7,350.0,350.0,On-going,Diamer-Astore Division,55.13001136,2011.0,11.0
319,Innovation Center and Software Park at University of Engineering & Technology Sub Campus Lahore (Revised),CDWP,2023-02-03,6897.29,0.0,3260.38,3636.91,384.81,384.81,On-going,Diamer-Astore Division,47.2704497,2023.0,2.0
320,IT Industrial Innovation and Research Centre and Strengthening of Islamia College Peshawar,CDWP,2017-07-02,1385.99,0.0,1070.0,315.985,10.0,10.0,On-going,Diamer-Astore Division,77.20113421,2017.0,7.0
321,Prime Minister’s National Innovation Award (Revised),CDWP,2022-05-12,450.11,0.0,267.516,182.594,82.594,82.594,On-going,Diamer-Astore Division,59.43347182,2022.0,5.0
322,Youth Development Center (YDC) Prime Minister’s Youth Program (Revised),CDWP,2022-05-12,447.466,0.0,248.944,198.522,198.522,198.522,On-going,Diamer-Astore Division,55.63417109,2022.0,5.0
323,Kamyab Jawan Talent Hunt Youth Sports League,DDWP,2021-05-27,897.985,0.0,694.04,203.945,203.945,203.945,On-going,Diamer-Astore Division,77.28859613,2021.0,5.0
324,Law Graduates Scholarship Programme for Balochistan for Study Abroad,CDWP,2018-03-19,420.98,0.0,197.056,223.924,61.228,61.228,On-going,Diamer-Astore Division,46.80887453,2018.0,3.0
325,Master Leading to PhD Scholarships Program (Indigenous and Overseas) for the Students of Balochistan (An Initiative of the Aghaz-e-Haqooq-e-Balochistan Package) HEC,ECNEC,2011-11-11,3138.69,0.0,1817.19,1321.5,255.0,255.0,On-going,Diamer-Astore Division,57.89644724,2011.0,11.0
326,Overseas Scholarship for MS/M. Phil leading to Ph.D. in selected fields (Phase III) - HEC (Revised),ECNEC,2023-04-01,22214.58,0.0,6733.8,15480.78,3000.0,3000.0,On-going,Diamer-Astore Division,30.31252448,2023.0,4.0
327,Pak-Sri Lanka Higher Education Cooperation programme,CDWP,2018-03-19,2287.74,0.0,642.162,1645.58,200.0,200.0,On-going,Diamer-Astore Division,28.06971072,2018.0,3.0
328,Pak-UK Education Gateway- HEC,DDWP,2019-11-28,1972.39,0.0,405.0,1567.39,250.0,250.0,On-going,Diamer-Astore Division,20.53346448,2019.0,11.0
329,Ph.D Scholarship Program under Pak-US Knowledge Corridor (Phase-I)-(Revised),ECNEC,2020-05-08,25226.27,0.0,7047.34,18178.94,2500.0,2500.0,On-going,Diamer-Astore Division,27.93651222,2020.0,5.0
330,Pilot Project for Data Driven Smart Decision Platform for Increased Agriculture Productivity-PMAS Arid Agriculture University,DDWP,2020-06-06,979.664,0.0,815.3,164.364,164.364,164.364,On-going,Diamer-Astore Division,83.22241095,2020.0,6.0
331,Post Doctoral Fellowship Programme Phase III (HEC),CDWP,2016-04-08,2770.92,0.0,747.141,2023.77,250.0,250.0,On-going,Diamer-Astore Division,26.96364384,2016.0,4.0
332,"Provision of 02 Students Hostels and Transport Facilities for Students of Women University, Mardan (Revised)",DDWP,2020-11-03,737.698,0.0,376.02,361.678,150.0,150.0,On-going,Diamer-Astore Division,50.972078,2020.0,11.0
333,Provision of Academic & Research facilities Air University - Islamabad,CDWP,2017-01-17,2188.34,0.0,1250.0,938.342,370.0,370.0,On-going,Diamer-Astore Division,57.12092271,2017.0,1.0
334,"Provision of Academic & Research Facilities and Girls Hostel at Quaid-i-Azam University, Islamabad (Revised)",CDWP,2023-01-27,3686.73,0.0,1870.0,1816.73,400.0,400.0,On-going,Diamer-Astore Division,50.72245594,2023.0,1.0
335,Provision of Accommodation Facilities for Female Students in Public Sector Universities of Islamabad (Umbrella Project),DDWP,2020-04-16,1370.85,0.0,901.883,468.962,200.0,200.0,On-going,Diamer-Astore Division,65.79005726,2020.0,4.0
336,Provision of Admin and Allied Facilities at Women University Mardan (Revised),DDWP,2021-03-31,995.196,0.0,306.52,688.676,250.0,250.0,On-going,Diamer-Astore Division,30.79996302,2021.0,3.0
337,Provision of Higher Education Opportunities For Students of Balochistan and FATA (Phase-II) (HEC),CDWP,2015-10-29,2983.7,0.0,1582.95,1400.75,400.0,400.0,On-going,Diamer-Astore Division,53.05325602,2015.0,10.0
338,"Provision of Missing Facilities at the University of Swabi, New Campus Site  (Revised)",CDWP,2023-05-23,2039.75,0.0,632.145,1407.61,300.0,300.0,On-going,Diamer-Astore Division,30.99129795,2023.0,5.0
339,"Provision of Missing Facilities for The Shaikh Ayaz University, Shikarpur",DDWP,2020-11-03,1445.27,0.0,454.425,990.844,200.0,200.0,On-going,Diamer-Astore Division,31.44222187,2020.0,11.0
340,Scholarship Program for the students of Gilgit-Baltistan (GB) in Top Pakistani universities- institutions (GB),DDWP,2021-04-28,648.676,0.0,187.47,461.206,150.0,150.0,On-going,Diamer-Astore Division,28.90040637,2021.0,4.0
341,Smart Universities: Transformation through Smart Classrooms (Phase- I),CDWP,2020-03-03,2330.56,0.0,43.119,2287.44,50.0,50.0,On-going,Diamer-Astore Division,1.850156186,2020.0,3.0
342,Strengthening & Development of Physical and Technological Infrastructure at the University of Haripur (to be revised),CDWP,2019-06-05,1646.96,0.0,1546.96,100.0,100.0,100.0,On-going,Diamer-Astore Division,93.92820712,2019.0,6.0
343,Strengthening and Expansion of University of Gujrat (UN) and Allied Campuses (Revised),CDWP,2023-02-03,2621.55,0.0,950.0,1671.55,350.0,350.0,On-going,Diamer-Astore Division,36.23810341,2023.0,2.0
344,"Strengthening and upgradation of academic facilities at University of Sindh, Jamshoro",CDWP,2017-04-12,1600.62,0.0,640.0,960.618,250.0,250.0,On-going,Diamer-Astore Division,39.984506,2017.0,4.0
345,"Strengthening and Upgradation of Academic Research and Sports Facilities at Liaquat University of Medical & Health Sciences (LUMHS), Jamshoro",DDWP,2020-03-20,1582.84,0.0,1150.0,432.837,250.0,250.0,On-going,Diamer-Astore Division,72.65421647,2020.0,3.0
346,"Strengthening of  Center of Excellence in Arts & Design (CEAD), Mehran University of Engineering & Technology (MUET), Jamshoro",DDWP,2020-03-20,863.229,0.0,275.0,588.229,250.0,250.0,On-going,Diamer-Astore Division,31.85713177,2020.0,3.0
347,"Strengthening of Abbottabad Campus of University of Engineering & Technology, Peshawar",DDWP,2020-03-20,1500.0,0.0,765.0,735.0,257.0,257.0,On-going,Diamer-Astore Division,51.0,2020.0,3.0
348,Strengthening of Abdul Wali Khan University Mardan,CDWP,2021-05-25,3641.55,0.0,1349.17,2292.39,300.0,300.0,On-going,Diamer-Astore Division,37.04933339,2021.0,5.0
349,"Strengthening of Academic & Research Facilities at Pakistan Institute of Engineering & Applied Sciences (PIEAS), Islamabad",CDWP,2016-03-30,1404.6,0.0,1341.6,63.0,63.0,63.0,On-going,Diamer-Astore Division,95.51473729,2016.0,3.0
350,"Strengthening of Academic and Research Programs at  University of the Punjab, Lahore (Revised)",CDWP,2023-03-08,3451.62,0.0,1162.53,2289.09,300.0,300.0,On-going,Diamer-Astore Division,33.68070645,2023.0,3.0
351,Strengthening of Core Network & Expansion of PERN footprints through CPEC Optical Fiber (PERN-III) - HEC,CDWP,2018-03-29,1996.74,0.0,1891.74,105.0,105.0,105.0,On-going,Diamer-Astore Division,94.74142853,2018.0,3.0
352,"Strengthening of Existing Facilities of Government Sadiq College Women University (GSCWU), Bahawalpur",DDWP,2020-03-20,731.713,0.0,455.0,276.713,276.713,276.713,On-going,Diamer-Astore Division,62.18285038,2020.0,3.0
353,Strengthening of Infrastructure and Academic Programs of Government College Women University Sialkot,DDWP,2020-03-20,1395.13,0.0,1165.0,230.133,230.133,230.133,On-going,Diamer-Astore Division,83.504763,2020.0,3.0
354,Strengthening of Khyber Medical University Peshawar,DDWP,2023-08-29,980.352,0.0,680.352,300.0,300.0,300.0,On-going,Diamer-Astore Division,69.39874657,2023.0,8.0
355,Strengthening of Shaheed Benazir Bhutto Women University Peshawar,DDWP,2021-12-02,1730.77,0.0,737.5,993.266,300.0,300.0,On-going,Diamer-Astore Division,42.61109217,2021.0,12.0
356,Strengthening of The Women University Multan (Phase-II),DDWP,2021-03-31,1498.57,0.0,592.0,906.571,300.0,300.0,On-going,Diamer-Astore Division,39.50432746,2021.0,3.0
357,Strengthening of the Women University of AJ&K Bagh,DDWP,2021-03-19,1090.91,0.0,320.0,770.914,300.0,300.0,On-going,Diamer-Astore Division,29.33330889,2021.0,3.0
358,"Strengthening of University of Baltistan, Skardu",DDWP,2021-04-28,595.482,0.0,350.0,245.482,245.482,245.482,On-going,Diamer-Astore Division,58.77591598,2021.0,4.0
359,"Strengthening of University of Narowal, Narowal (Revised)",CDWP,2023-06-23,3522.79,0.0,1375.0,2147.79,400.0,400.0,On-going,Diamer-Astore Division,39.03156305,2023.0,6.0
360,"Strengthening of University of Poonch, Rawalakot AJ&K (Phase- II)",DDWP,2021-03-31,1574.33,0.0,461.0,1113.33,250.0,250.0,On-going,Diamer-Astore Division,29.28229787,2021.0,3.0
361,Upgradation and Capacity Building of Pakistan Academy of Sciences (Natural and Social Sciences),DDWP,2019-11-28,810.272,0.0,670.58,139.692,89.692,89.692,On-going,Diamer-Astore Division,82.75986335,2019.0,11.0
362,Upgradation of Bannu University of Science & Technology Lakki Marwat Campus to a Full Fledged University,CDWP,2017-09-19,1513.25,0.0,795.0,718.252,300.0,300.0,On-going,Diamer-Astore Division,52.5359326,2017.0,9.0
363,"Upgradation of Government College of Technology (GCT) Khairpur into the Benazir Bhutto University of Technology and Skill Development, Khairpur Mir's",CDWP,2017-04-12,1017.73,0.0,655.0,362.733,362.733,362.733,On-going,Diamer-Astore Division,64.35891641,2017.0,4.0
364,Upgradation of National Institute of Science & Technical Education (NISTE) Islamabad into Skills University (Revised),CDWP,2022-09-14,1385.38,0.0,924.002,461.373,200.0,200.0,On-going,Diamer-Astore Division,66.69664641,2022.0,9.0
365,Up-gradation of Synthetic Fiber Development and Application Centre (SFDAC) and Plastic Technology Centre (PTC) as a Sub Campus of National Textile University (NTU),CDWP,2018-01-15,871.557,0.0,805.818,65.739,65.739,65.739,On-going,Diamer-Astore Division,92.45729195,2018.0,1.0
